cwe,tool,exit_code,duration_s
121,gcc,0,958
121,clang,0,1336
121,csa,0,948
121,infer,0,1152
121,filc,0,1719
121,valgrind,0,2554
121,asan,0,966
122,gcc,0,642
122,clang,0,710
122,csa,0,635
122,infer,0,772
122,filc,0,1269
122,valgrind,0,1635
122,asan,0,762
123,gcc,0,210
123,clang,0,210
123,csa,0,45
123,infer,0,55
123,filc,0,241
123,valgrind,0,264
123,asan,0,207
124,gcc,0,505
124,clang,0,531
124,csa,0,289
124,infer,0,352
124,filc,0,800
124,valgrind,0,945
124,asan,0,564
126,gcc,0,464
126,clang,0,485
126,csa,0,226
126,infer,0,275
126,filc,0,660
126,valgrind,0,796
126,asan,0,501
127,gcc,0,478
127,clang,0,510
127,csa,0,290
127,infer,0,352
127,filc,0,803
127,valgrind,0,918
127,asan,0,560
416,gcc,0,14
416,clang,0,19
416,csa,0,38
416,infer,0,47
416,filc,0,67
416,valgrind,0,85
416,asan,0,35
415,gcc,0,46
415,clang,0,54
415,csa,0,73
415,infer,0,89
415,filc,0,115
415,valgrind,0,138
415,asan,0,43
401,gcc,0,93
401,clang,0,121
401,csa,0,260
401,infer,0,316
401,filc,0,239
401,valgrind,0,512
401,asan,0,150
